                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    208,                0.01046,                0.63333,                      1,                 1.1161,             0.00013155,             0.00013155,             0.00013155
                    209,                0.04377,                0.64167,                      1,                 1.0701,             0.00012872,             0.00012872,             0.00012872
                    210,                0.02238,                0.68333,                      1,                 1.0655,             0.00012589,             0.00012589,             0.00012589
                    211,                0.02035,                  0.675,                      1,                 1.0824,             0.00012307,             0.00012307,             0.00012307
                    212,                0.00339,                0.68333,                      1,                 1.0753,             0.00012024,             0.00012024,             0.00012024
                    213,                0.01283,                0.64167,                      1,                 1.0841,             0.00011741,             0.00011741,             0.00011741
                    214,                0.00522,                0.60833,                      1,                 1.1265,             0.00011458,             0.00011458,             0.00011458
                    215,                0.02257,                0.63333,                      1,                 1.0936,             0.00011176,             0.00011176,             0.00011176
                    216,                 0.0069,                0.63333,                      1,                 1.1094,             0.00010893,             0.00010893,             0.00010893
                    217,                0.01704,                0.64167,                      1,                 1.1088,              0.0001061,              0.0001061,              0.0001061
                    218,                0.00467,                0.63333,                      1,                 1.0953,             0.00010327,             0.00010327,             0.00010327
                    219,                0.00646,                  0.625,                      1,                 1.1176,             0.00010045,             0.00010045,             0.00010045
                    220,                0.01378,                    0.6,                      1,                 1.1324,             9.7618e-05,             9.7618e-05,             9.7618e-05
                    221,                0.00853,                0.58333,                      1,                 1.1477,             9.4791e-05,             9.4791e-05,             9.4791e-05
                    222,                0.01639,                0.55833,                      1,                 1.1557,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    223,                0.02668,                  0.575,                      1,                 1.1537,             8.9136e-05,             8.9136e-05,             8.9136e-05
                    224,                 0.0101,                0.56667,                      1,                 1.1732,             8.6308e-05,             8.6308e-05,             8.6308e-05
                    225,                0.01853,                0.58333,                      1,                 1.1604,             8.3481e-05,             8.3481e-05,             8.3481e-05
                    226,                 0.0033,                0.60833,                      1,                 1.1396,             8.0653e-05,             8.0653e-05,             8.0653e-05
                    227,                0.00361,                0.60833,                      1,                 1.1428,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    228,                0.01252,                0.60833,                      1,                 1.1081,             7.4999e-05,             7.4999e-05,             7.4999e-05
                    229,                0.00943,                0.61667,                      1,                 1.1045,             7.2171e-05,             7.2171e-05,             7.2171e-05
                    230,                0.00179,                    0.6,                      1,                 1.1407,             6.9344e-05,             6.9344e-05,             6.9344e-05
                    231,                 0.0046,                0.58333,                      1,                 1.1354,             6.6516e-05,             6.6516e-05,             6.6516e-05
                    232,                0.01399,                    0.6,                      1,                  1.146,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    233,                 0.0085,                0.56667,                      1,                 1.1741,             6.0861e-05,             6.0861e-05,             6.0861e-05
                    234,                0.00565,                0.55833,                      1,                 1.1936,             5.8034e-05,             5.8034e-05,             5.8034e-05
                    235,                0.00364,                0.58333,                      1,                 1.1591,             5.5206e-05,             5.5206e-05,             5.5206e-05
                    236,                 0.0112,                0.56667,                      1,                 1.1797,             5.2379e-05,             5.2379e-05,             5.2379e-05
                    237,                0.00728,                0.56667,                      1,                 1.1533,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    238,                0.00387,                0.56667,                      1,                 1.1653,             4.6724e-05,             4.6724e-05,             4.6724e-05
                    239,                0.00255,                  0.575,                      1,                  1.155,             4.3897e-05,             4.3897e-05,             4.3897e-05
                    240,                0.00833,                0.56667,                      1,                 1.1402,             4.1069e-05,             4.1069e-05,             4.1069e-05
                    241,                0.02326,                0.56667,                      1,                 1.1385,             3.8242e-05,             3.8242e-05,             3.8242e-05
                    242,                0.00377,                  0.575,                      1,                 1.1542,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    243,                 0.0288,                0.56667,                      1,                 1.1725,             3.2587e-05,             3.2587e-05,             3.2587e-05
                    244,                0.00416,                  0.575,                      1,                 1.1677,              2.976e-05,              2.976e-05,              2.976e-05
                    245,                0.00486,                    0.6,                      1,                 1.1397,             2.6932e-05,             2.6932e-05,             2.6932e-05
                    246,                0.00171,                    0.6,                      1,                 1.1442,             2.4105e-05,             2.4105e-05,             2.4105e-05
                    247,                 0.0045,                  0.575,                      1,                 1.1727,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    248,                0.00662,                  0.575,                      1,                 1.1519,              1.845e-05,              1.845e-05,              1.845e-05
                    249,                0.00389,                0.58333,                      1,                 1.1393,             1.5622e-05,             1.5622e-05,             1.5622e-05
                    250,                0.01076,                0.59167,                      1,                 1.1713,             1.2795e-05,             1.2795e-05,             1.2795e-05
